9/23/2020 4:45:04 PM,Program state changed to: Reset
9/23/2020 4:45:07 PM,Program state changed to: Active
9/23/2020 4:45:23 PM,Program state changed to: Stop
9/23/2020 6:00:06 PM,Program state changed to: Error
9/24/2020 9:44:50 AM,Program state changed to: Reset
9/24/2020 9:46:48 AM,Program state changed to: Free
9/24/2020 10:14:13 AM,Program state changed to: Reset
9/24/2020 10:14:19 AM,Program state changed to: Active
9/24/2020 10:14:22 AM,Program state changed to: Stop
9/24/2020 10:14:28 AM,Program state changed to: Active
9/24/2020 10:15:11 AM,Program state changed to: Stop
9/24/2020 10:16:00 AM,Program state changed to: Active
9/24/2020 10:16:25 AM,Program state changed to: Stop
9/24/2020 10:16:28 AM,Program state changed to: Active
9/24/2020 10:16:31 AM,Program state changed to: Stop
9/24/2020 10:17:11 AM,Program state changed to: Active
9/24/2020 10:17:26 AM,Program state changed to: Stop
9/24/2020 10:19:20 AM,Program state changed to: Free
9/24/2020 10:19:23 AM,Program state changed to: Reset
9/24/2020 10:21:47 AM,Program state changed to: Free
9/24/2020 10:21:50 AM,Program state changed to: Reset
9/24/2020 10:22:24 AM,Program state changed to: Free
9/24/2020 10:22:27 AM,Program state changed to: Reset
9/24/2020 10:23:38 AM,Program state changed to: Free
9/24/2020 10:23:41 AM,Program state changed to: Reset
9/24/2020 10:23:44 AM,Program state changed to: Active
9/24/2020 10:25:28 AM,Program state changed to: Stop
9/24/2020 10:25:40 AM,Program state changed to: Active
9/24/2020 10:25:50 AM,Program state changed to: Stop
9/24/2020 10:26:17 AM,Program state changed to: Active
9/24/2020 10:26:20 AM,Program state changed to: Stop
9/24/2020 10:26:35 AM,Program state changed to: Active
9/24/2020 10:27:03 AM,Program state changed to: Stop
9/24/2020 10:27:06 AM,Program state changed to: Active
9/24/2020 10:27:12 AM,Program state changed to: Stop
9/24/2020 10:27:15 AM,Program state changed to: Active
9/24/2020 10:28:14 AM,Program state changed to: Stop
9/24/2020 10:28:20 AM,Program state changed to: Active
9/24/2020 10:28:39 AM,Program state changed to: Stop
9/24/2020 10:28:42 AM,Program state changed to: Active
9/24/2020 10:28:51 AM,Program state changed to: Stop
9/24/2020 10:28:54 AM,Program state changed to: Active
9/24/2020 10:28:57 AM,Program state changed to: Stop
9/24/2020 10:29:00 AM,Program state changed to: Active
9/24/2020 10:29:06 AM,Program state changed to: Stop
9/24/2020 10:29:09 AM,Program state changed to: Active
9/24/2020 10:29:37 AM,Program state changed to: Stop
9/24/2020 10:29:50 AM,Program state changed to: Active
9/24/2020 10:30:02 AM,Program state changed to: Stop
9/24/2020 10:30:08 AM,Program state changed to: Active
9/24/2020 10:30:27 AM,Program state changed to: Stop
9/24/2020 10:30:39 AM,Program state changed to: Active
9/24/2020 10:30:42 AM,Program state changed to: Stop
9/24/2020 10:30:45 AM,Program state changed to: Active
9/24/2020 10:30:51 AM,Program state changed to: Stop
9/24/2020 10:31:01 AM,Program state changed to: Active
9/24/2020 10:31:31 AM,Program state changed to: Stop
9/24/2020 10:32:05 AM,Program state changed to: Active
9/24/2020 10:32:24 AM,Program state changed to: Stop
9/24/2020 10:32:33 AM,Program state changed to: Active
9/24/2020 10:33:37 AM,Program state changed to: Stop
9/24/2020 10:38:32 AM,Program state changed to: Reset
9/24/2020 10:38:41 AM,Program state changed to: Active
9/24/2020 10:39:11 AM,Program state changed to: Stop
9/24/2020 10:39:20 AM,Program state changed to: Active
9/24/2020 10:39:23 AM,Program state changed to: Stop
9/24/2020 10:39:29 AM,Program state changed to: Active
9/24/2020 10:40:33 AM,Program state changed to: Stop
9/24/2020 10:40:42 AM,Program state changed to: Active
9/24/2020 10:40:51 AM,Program state changed to: Stop
9/24/2020 10:41:30 AM,Program state changed to: Reset
9/24/2020 10:41:33 AM,Program state changed to: Active
9/24/2020 10:41:46 AM,Program state changed to: Stop
9/24/2020 10:41:55 AM,Program state changed to: Active
9/24/2020 10:42:07 AM,Program state changed to: Stop
9/24/2020 10:42:19 AM,Program state changed to: Active
9/24/2020 10:42:32 AM,Program state changed to: Stop
9/24/2020 10:42:35 AM,Program state changed to: Active
9/24/2020 10:43:24 AM,Program state changed to: Stop
9/24/2020 10:43:27 AM,Program state changed to: Active
9/24/2020 10:43:49 AM,Program state changed to: Stop
9/24/2020 10:44:01 AM,Program state changed to: Active
9/24/2020 10:44:20 AM,Program state changed to: Stop
9/24/2020 10:44:23 AM,Program state changed to: Active
9/24/2020 10:46:42 AM,Program state changed to: Stop
9/24/2020 10:46:45 AM,Program state changed to: Active
9/24/2020 10:47:01 AM,Program state changed to: Stop
9/24/2020 10:47:13 AM,Program state changed to: Active
9/24/2020 10:47:19 AM,Program state changed to: Stop
9/24/2020 10:47:23 AM,Program state changed to: Active
9/24/2020 10:48:21 AM,Program state changed to: Stop
9/24/2020 10:48:46 AM,Program state changed to: Active
9/24/2020 10:48:55 AM,Program state changed to: Stop
9/24/2020 10:51:37 AM,Program state changed to: Active
9/24/2020 10:51:46 AM,Program state changed to: Stop
9/24/2020 10:52:10 AM,Program state changed to: Active
9/24/2020 10:52:28 AM,Program state changed to: Stop
9/24/2020 10:52:34 AM,Program state changed to: Active
9/24/2020 10:53:19 AM,Program state changed to: Stop
9/24/2020 10:54:29 AM,Program state changed to: Free
9/24/2020 10:54:41 AM,Program state changed to: Reset
9/24/2020 10:54:50 AM,Program state changed to: Active
9/24/2020 10:55:05 AM,Program state changed to: Stop
9/24/2020 10:55:14 AM,Program state changed to: Active
9/24/2020 10:55:21 AM,Program state changed to: Stop
9/24/2020 10:55:24 AM,Program state changed to: Active
9/24/2020 10:55:33 AM,Program state changed to: Stop
9/24/2020 10:55:36 AM,Program state changed to: Active
9/24/2020 10:56:00 AM,Program state changed to: Stop
9/24/2020 10:56:03 AM,Program state changed to: Active
9/24/2020 10:56:43 AM,Program state changed to: Stop
9/24/2020 10:57:48 AM,Program state changed to: Active
9/24/2020 10:57:57 AM,Program state changed to: Stop
9/24/2020 10:58:09 AM,Program state changed to: Active
9/24/2020 10:58:15 AM,Program state changed to: Stop
9/24/2020 10:58:19 AM,Program state changed to: Active
9/24/2020 10:58:22 AM,Program state changed to: Stop
9/24/2020 10:58:37 AM,Program state changed to: Active
9/24/2020 11:00:06 AM,Program state changed to: Stop
9/24/2020 11:00:18 AM,Program state changed to: Active
9/24/2020 11:00:21 AM,Program state changed to: Stop
9/24/2020 11:00:27 AM,Program state changed to: Active
9/24/2020 11:00:37 AM,Program state changed to: Stop
9/24/2020 11:01:41 AM,Program state changed to: Active
9/24/2020 11:02:06 AM,Program state changed to: Stop
9/24/2020 11:02:09 AM,Program state changed to: Active
9/24/2020 11:02:18 AM,Program state changed to: Stop
9/24/2020 11:02:24 AM,Program state changed to: Active
9/24/2020 11:02:33 AM,Program state changed to: Stop
9/24/2020 11:02:45 AM,Program state changed to: Active
9/24/2020 11:02:49 AM,Program state changed to: Stop
9/24/2020 11:03:04 AM,Program state changed to: Active
9/24/2020 11:03:07 AM,Program state changed to: Stop
9/24/2020 11:03:10 AM,Program state changed to: Active
9/24/2020 11:03:13 AM,Program state changed to: Stop
9/24/2020 11:03:16 AM,Program state changed to: Active
9/24/2020 11:03:19 AM,Program state changed to: Stop
9/24/2020 11:03:34 AM,Program state changed to: Reset
9/24/2020 11:03:37 AM,Program state changed to: Stop
9/24/2020 11:04:23 AM,Program state changed to: Free
9/24/2020 11:04:36 AM,Program state changed to: Stop
9/24/2020 11:04:39 AM,Program state changed to: Active
9/24/2020 11:04:42 AM,Program state changed to: Stop
9/24/2020 11:04:45 AM,Program state changed to: Active
9/24/2020 11:04:48 AM,Program state changed to: Stop
9/24/2020 11:07:01 AM,Program state changed to: Reset
9/24/2020 11:08:28 AM,Program state changed to: Active
9/24/2020 11:08:37 AM,Program state changed to: Stop
9/24/2020 11:09:01 AM,Program state changed to: Reset
9/24/2020 11:09:04 AM,Program state changed to: Stop
9/24/2020 11:09:10 AM,Program state changed to: Active
9/24/2020 11:09:22 AM,Program state changed to: Stop
9/24/2020 11:09:49 AM,Program state changed to: Active
9/24/2020 11:09:58 AM,Program state changed to: Stop
9/24/2020 11:10:04 AM,Program state changed to: Active
9/24/2020 11:12:45 AM,Program state changed to: Stop
9/24/2020 11:12:48 AM,Program state changed to: Active
9/24/2020 11:13:07 AM,Program state changed to: Stop
9/24/2020 11:14:12 AM,Program state changed to: Active
9/24/2020 11:14:21 AM,Program state changed to: Stop
9/24/2020 11:14:31 AM,Program state changed to: Active
9/24/2020 11:14:46 AM,Program state changed to: Stop
9/24/2020 11:15:42 AM,Program state changed to: Active
9/24/2020 11:16:09 AM,Program state changed to: Stop
9/24/2020 11:16:12 AM,Program state changed to: Active
